CUSTOMER_ID,AGE,GENDER,INCOME_BRACKET,EMPLOYMENT_STATUS,CITY,CREDIT_SCORE,LOAN_HISTORY,CREDIT_UTILIZATION,SAVINGS_ACCOUNT,CREDIT_CARD,LOAN_TYPE,LOAN_AMOUNT,INSURANCE,FD_INVESTMENT,NET_BANKING_USAGE,MOBILE_APP_USAGE,COMPLAINTS_RAISED,RESPONSE_TO_OFFERS,CHURN_FLAG,AVG_MONTHLY_INCOME,AVG_MONTHLY_EXPENSE,AVG_RETAIL_SPEND,AVG_TRAVEL_SPEND,AVG_BILLS_SPEND,DELINQUENCY_COUNT_12M,TOTAL_OVERDUE_DAYS_12M,OVER_BUDGET_RATIO,DEFAULT_FLAG,CREDITSCORE_BAND
CUST0001,59,Female,3-6 LPA,Salaried,Ahmedabad,562,No Loans,10.11,1,1,Home Loan,4832744,0,0,13,19,1,Clicked,1,32002.63333333,23262.615,8640.14166667,3700.46916667,10922.00166667,2,10,0.0,1,<580
CUST0002,49,Other,15-25 LPA,Salaried,Ahmedabad,656,3-5 Loans,33.48,1,1,Home Loan,6298138,1,0,6,26,0,Ignored,0,198365.2125,138507.95,51624.08416667,20119.74166667,66764.12666667,1,30,0.0,0,650-700
CUST0003,35,Female,3-6 LPA,Self-Employed,Bengaluru,560,3-5 Loans,33.73,1,0,Auto Loan,1653848,1,0,9,19,1,Clicked,0,49154.95416667,38447.845,14018.41833333,4676.60166667,19600.62166667,5,140,0.0,0,<580
CUST0004,63,Female,<3 LPA,Unemployed,Kolkata,664,1-2 Loans,38.47,1,1,,0,1,0,11,24,0,Clicked,0,8074.58916667,5941.88083333,2074.025,1116.96333333,2750.89416667,1,30,0.0,0,650-700
CUST0005,28,Female,3-6 LPA,Self-Employed,Hyderabad,748,1-2 Loans,37.43,1,1,Personal Loan,304262,0,0,6,27,2,Ignored,0,41412.08166667,29206.23166667,12136.24666667,4498.485,12571.5025,0,0,0.0,0,700-750
CUST0006,41,Male,3-6 LPA,Salaried,Mumbai,677,1-2 Loans,30.18,1,1,,0,0,0,4,20,0,Clicked,0,26443.92333333,18238.46,5612.6375,2817.41583333,9808.40583333,1,15,0.0,0,650-700
CUST0007,59,Other,25+ LPA,Salaried,Bengaluru,779,3-5 Loans,33.21,1,1,,0,0,0,10,22,1,Ignored,0,250543.88166667,177279.95916667,59592.89333333,20803.7025,96616.1075,1,10,0.0,1,750+
CUST0008,39,Female,6-10 LPA,Self-Employed,Ahmedabad,727,1-2 Loans,45.68,1,0,,0,1,0,7,16,1,Ignored,0,59286.80416667,43505.6,16532.32083333,7181.165,19792.1125,1,10,0.0,0,700-750
CUST0009,43,Female,25+ LPA,Salaried,Delhi,760,1-2 Loans,32.54,1,1,,0,1,0,11,21,0,Ignored,0,282130.82416667,196357.5725,71753.46333333,26026.64583333,98577.46416667,1,5,0.0,0,750+
CUST0010,31,Female,6-10 LPA,Student,Kolkata,634,1-2 Loans,42.53,1,1,,0,0,536727,5,17,1,Clicked,0,29803.28666667,22317.26666667,8538.90666667,3020.2325,10758.12833333,1,5,0.0,0,580-650
