Transaction_ID,Customer_ID,Month,Monthly_Income,Monthly_Expense,Card_Spend_Retail,Card_Spend_Travel,Card_Spend_Bills,Delinquency_Flag,Overdue_Days
TXN0000001,CUST0001,8/1/2024,31899.7,25643.37,10974.04,2613.89,12055.44,0,0
TXN0000002,CUST0001,9/1/2024,30820.43,26623.56,8769.68,4140.34,13713.53,0,0
TXN0000003,CUST0001,10/1/2024,31543.92,22675.49,7353.82,4060.61,11261.06,0,0
TXN0000004,CUST0001,11/1/2024,38022.34,28706.78,15147.18,613.18,12946.41,0,0
TXN0000005,CUST0001,12/1/2024,28121.12,21165.04,6768.36,2097.95,12298.73,1,5
TXN0000006,CUST0001,1/1/2025,30690.97,23033.86,7936.37,5811.67,9285.82,0,0
TXN0000007,CUST0001,2/1/2025,27013.74,16972.86,5114.1,3669.48,8189.28,0,0
TXN0000008,CUST0001,3/1/2025,32193.38,22295.92,12130.52,3129.55,7035.84,0,0
TXN0000009,CUST0001,4/1/2025,32425.78,19093.11,8022.14,3724.59,7346.38,1,5
TXN0000010,CUST0001,5/1/2025,30898.33,19189.2,5979.12,4000.76,9209.32,0,0
TXN0000011,CUST0001,6/1/2025,35768.79,30117.71,7985.7,3593.66,18538.35,0,0
TXN0000012,CUST0001,7/1/2025,34633.1,23634.48,7500.67,6949.95,9183.86,0,0
TXN0000013,CUST0002,8/1/2024,185432.42,140403.24,48256.86,23048.85,69097.52,0,0
TXN0000014,CUST0002,9/1/2024,201595.82,133563.73,30575.68,15152.45,87835.61,0,0
TXN0000015,CUST0002,10/1/2024,219802.68,151591.45,63661.73,18601.37,69328.35,0,0
TXN0000016,CUST0002,11/1/2024,200805.61,119596.44,43073.85,34444.52,42078.07,0,0
TXN0000017,CUST0002,12/1/2024,223025.1,170006.95,79989.11,10685.04,79332.8,0,0
TXN0000018,CUST0002,1/1/2025,184194.24,125378.56,51410.68,10515.53,63452.34,0,0
TXN0000019,CUST0002,2/1/2025,199553.44,167597.62,54261.97,22039.75,91295.91,0,0
TXN0000020,CUST0002,3/1/2025,173314.19,136938.92,63004.99,28902.75,45031.19,1,30
TXN0000021,CUST0002,4/1/2025,193640.47,128978.86,31242.85,34863.49,62872.53,0,0
TXN0000022,CUST0002,5/1/2025,197425.25,114119.57,57348.89,21301,35469.69,0,0
TXN0000023,CUST0002,6/1/2025,215220.57,145535.1,46508.8,19314.45,79711.85,0,0
TXN0000024,CUST0002,7/1/2025,186372.76,128384.96,50153.6,2567.7,75663.66,0,0
TXN0000025,CUST0003,8/1/2024,44503.08,38886.72,14318.46,13473.15,11095.11,0,0
TXN0000026,CUST0003,9/1/2024,51510.28,44682.36,17765.55,4563.34,22353.46,1,60
TXN0000027,CUST0003,10/1/2024,46720.02,36160.82,17005.63,1618.5,17536.69,0,0
TXN0000028,CUST0003,11/1/2024,49805.1,39727.5,15178.98,2856.19,21692.33,0,0
TXN0000029,CUST0003,12/1/2024,53370.23,46443.02,16567.13,2932.99,26942.91,1,20
TXN0000030,CUST0003,1/1/2025,49667.43,30941.29,12618.78,4325.07,13997.43,1,10
TXN0000031,CUST0003,2/1/2025,44707.2,32554.7,4033.42,651.09,26043.76,0,0
TXN0000032,CUST0003,3/1/2025,48849.2,33264.46,9450.17,3584.84,20229.46,1,5
TXN0000033,CUST0003,4/1/2025,45923.49,41703.42,20504.86,11555.15,9643.41,1,45
TXN0000034,CUST0003,5/1/2025,50477.05,40487.62,11528.39,3329.47,25629.76,0,0
TXN0000035,CUST0003,6/1/2025,49850.14,34220.04,14066.11,2165.99,17987.94,0,0
TXN0000036,CUST0003,7/1/2025,54476.23,42302.19,15183.54,5063.44,22055.2,0,0
TXN0000037,CUST0004,8/1/2024,8000,6143.4,2863.88,323.29,2956.23,0,0
TXN0000038,CUST0004,9/1/2024,8000,6046.3,2828.04,984.16,2234.1,0,0
TXN0000039,CUST0004,10/1/2024,8088.06,6372.25,3071.09,1651,1650.16,0,0
TXN0000040,CUST0004,11/1/2024,8082.67,6387.49,2063.05,1829.78,2494.66,0,0
TXN0000041,CUST0004,12/1/2024,8000,5741.3,3102.45,1124.85,1514,0,0
TXN0000042,CUST0004,1/1/2025,8000,5045.02,1209.93,646.88,3188.21,0,0
TXN0000043,CUST0004,2/1/2025,8000,5556.11,2353.84,1637.58,1564.7,1,30
TXN0000044,CUST0004,3/1/2025,8000,5333.16,684.22,788.74,3860.2,0,0
TXN0000045,CUST0004,4/1/2025,8000,5671.68,1828.58,1626.6,2216.51,0,0
TXN0000046,CUST0004,5/1/2025,8201.65,6269.21,1608.33,776.87,3884.01,0,0
TXN0000047,CUST0004,6/1/2025,8522.69,6806.14,2094.34,1126.34,3585.46,0,0
TXN0000048,CUST0004,7/1/2025,8000,5930.51,1180.55,887.47,3862.49,0,0
TXN0000049,CUST0005,8/1/2024,42792.58,29424.27,14613.47,3602.78,11208.02,0,0
TXN0000050,CUST0005,9/1/2024,45451.24,29639.33,9693.45,1635.34,18310.55,0,0
TXN0000051,CUST0005,10/1/2024,40760.55,33207.66,10156.01,5219.55,17832.11,0,0
TXN0000052,CUST0005,11/1/2024,42735.27,31182.63,13330.52,3770.38,14081.73,0,0
TXN0000053,CUST0005,12/1/2024,41509.85,22567.83,12506.44,4036.87,6024.52,0,0
TXN0000054,CUST0005,1/1/2025,43242.6,28071.07,10894.87,7132.98,10043.23,0,0
TXN0000055,CUST0005,2/1/2025,34920.12,29852.55,17303.68,1124.47,11424.4,0,0
TXN0000056,CUST0005,3/1/2025,44004.28,28885.65,8666.28,8414.87,11804.5,0,0
